2008,12,4,6,1,21.66,-43.574634,170.206006,13.781,1.49, -,130
2008,12,4,15,49,26.29,-42.765137,171.288118,7.66,2.44,46.6,147.5
2008,12,5,3,31,59.21,-43.148303,171.054574,3.673,0.88,277.3,413.3
2008,12,5,7,20,14.66,-43.155961,170.980518,17.848,1.41,188.3,201.7
2008,12,5,14,41,0.92,-42.843038,171.321452,1.278,1.42, -,130
2008,12,5,18,58,1.32,-43.22299,170.785579,19.152,1.51,473.3,534.9
2008,12,5,20,29,23,-42.762439,171.287826,7.782,3.21,52.8,203.4
2008,12,5,21,36,7.32,-42.787992,171.27417,3.134,1.2,35.7,97.9
2008,12,5,22,49,56.7,-42.791138,171.271875,2.559,1.91,38.1,180.7
2008,12,6,5,28,54.35,-42.790381,171.272884,2.39,2.04,34.5,130.8
2008,12,6,9,43,42.32,-42.79008,171.274447,2.722,2.04,29.7,76.5
2008,12,6,11,30,32.57,-42.789315,171.272038,3.178,1.37,36.4,85.4
2008,12,6,14,44,18.3,-42.787549,171.273291,3.564,1.03,36.7,96.2
2008,12,7,9,1,42.01,-42.797652,171.338704,2.981,0.75, -,130
2008,12,7,21,10,9.5,-42.797953,171.282422,0.447,0.86, -,130
2008,12,7,21,13,24.46,-42.783341,171.276888,4.185,1.36,44.2,148.3
2008,12,8,3,46,19.18,-43.3769,170.808366,16.741,1.88,317,762.8
2008,12,8,3,47,17.44,-43.376945,170.807796,16.733,1.18,326.8,784.9
2008,12,8,5,39,43.94,-42.788908,171.275618,2.913,1.86,32.4,97.9
2008,12,8,5,44,49.19,-42.787028,171.277035,3.407,1.52,42.1,131.9
2008,12,8,15,36,3.09,-42.789421,171.270589,2.804,2.65,38.7,163.1
2008,12,8,15,39,21.24,-43.107776,171.074593,4.557,1.13, -,130
2008,12,8,17,34,20.2,-43.470711,170.336507,7.009,2.04,84.1,188
2008,12,8,21,12,18.88,-43.23348,170.802376,18.142,0.98,435.3,473.7
2008,12,9,2,39,3.5,-43.227132,171.035563,16.667,2.47,123.5,127
2008,12,9,18,59,59.48,-43.067306,170.86001,15.877,1.09,356.8,423.7
2008,12,9,21,17,34.4,-42.793424,171.2743,0.997,1.06,81.7,132.3
2008,12,9,22,27,32.68,-43.251208,171.013786,9.8,1.24,221.1,379.7
2008,12,9,22,34,39.12,-43.593929,170.195964,2.921,0.79,222.3,335.2
2008,12,10,0,41,15.59,-42.787476,171.273551,3.067,1.79,34.9,96.1
2008,12,10,6,5,27.05,-43.22712,171.035433,16.653,1.77,117,140.2
2008,12,10,7,13,30.89,-43.227543,171.035791,16.587,1.01,121.9,130.2
2008,12,10,11,35,20.1,-42.788167,171.273128,2.872,2.4,35.3,84.9
2008,12,10,11,41,3.89,-42.795833,171.272428,0.674,0.83, -,130
2008,12,10,14,2,47.03,-43.228284,171.036768,17.048,1.32,111.8,149.2
2008,12,11,1,20,12.58,-43.09801,170.939144,17.325,0.9,99,134.5
2008,12,11,1,35,21.14,-42.761035,171.290804,7.791,2.05,60.1,159.3
2008,12,11,1,37,18.12,-42.792851,171.274251,2.808,1.61,49.4,98.5
2008,12,11,1,43,55.7,-42.792253,171.276628,1.945,1.03,41.9,150.6
2008,12,11,2,33,48.75,-42.776717,171.283545,5.191,1.88,39.6,99
2008,12,11,4,18,22.12,-42.782511,171.27876,4.199,0.85,34.9,119.9
2008,12,11,5,59,29.15,-42.791284,171.276676,1.962,1.29,53.8,116.8
2008,12,11,8,3,11.49,-42.785925,171.276383,4.109,0.87,90,236.5
2008,12,12,9,49,2.19,-43.152091,170.865804,15.08,0.62,299.1,380.8
2008,12,12,22,27,22.8,-43.553377,170.562386,13.107,1.02,250.7,692.8
2008,12,13,17,16,1.44,-42.789461,171.272656,2.404,0.9,39,134.8
2008,12,13,20,13,9.12,-43.288554,171.209928,15.561,0.73,738.8,1302.3
2008,12,14,5,30,41.79,-43.651005,170.538721,11.367,1.56, -,130
2008,12,14,6,23,22.1,-43.407601,170.719222,15.158,0.9,507.9,836.1
2008,12,14,11,24,29.59,-43.217338,170.912695,19.947,0.39,337.8,412.7
2008,12,14,11,31,31.55,-43.212223,170.922559,22.26,1.24,267,429.7
2008,12,14,16,12,43,-42.78243,171.274984,4.115,0.98,34.6,104.4
2008,12,16,9,16,53.45,-42.792106,171.277767,2.569,1.29,45.9,114.9
2008,12,16,9,23,3.27,-42.799231,171.272103,2.239,1.68,66.3,135
2008,12,16,10,47,53.65,-43.524386,170.264779,4.581,0.74,49.8,89.8
2008,12,16,21,15,42.44,-42.777844,171.275488,5.276,1.11,75.4,174.1
2008,12,17,5,39,3.82,-43.536247,170.255501,3.887,0.44,53.1,91.7
2008,12,18,13,4,8,-43.091943,171.138184,4.405,0.15, -,130
2008,12,19,5,42,39.64,-42.790926,171.270964,2.944,2.14,39.6,66
2008,12,19,14,53,36.75,-43.476644,170.33859,6.797,1.12,70.2,79.3
2008,12,20,12,52,59.8,-43.0889,170.964925,1.211,0.65,410.3,709.5
2008,12,21,4,10,8.71,-43.306014,170.7854,15.753,1.86,159.7,227.4
2008,12,21,4,10,8.7,-43.3059,170.785221,15.82,1.89,160.8,227.7
2008,12,21,11,20,54.14,-43.158138,170.836019,17.143,0.66,247.9,265.1
2008,12,22,11,38,22.55,-42.786804,171.27168,3.24,1.96,34.8,116.6
2008,12,23,1,36,47.93,-43.575879,170.581185,13.857,1.22,199,378.5
2008,12,23,5,10,21.69,-43.139376,171.124512,7.592,0.61,435.2,776.8
2008,12,23,8,47,1.22,-43.046932,171.090918,11.073,0.81,392.9,486
2008,12,23,12,17,6.36,-43.17666,170.915479,19.712,0.85,223.7,255
2008,12,23,15,10,24.41,-43.068412,170.982552,16.029,0.51,374.6,459.5
2008,12,23,16,47,1.13,-42.984603,171.390039,8.686,1.23,115,139.3
2008,12,23,19,32,10.08,-43.154093,170.864323,17.667,0.93,239.6,290.1
2008,12,24,17,46,30.08,-43.041886,171.40651,11.502,1.78,141.5,196
2008,12,25,7,42,54.24,-43.779423,170.669824,17.758,1.46, -,130
2008,12,25,9,54,23.51,-43.537138,170.366081,6.059,0.37,95.5,143.3
2008,12,25,13,52,20.74,-43.148592,170.92054,15.636,0.46,205.7,314.6
2008,12,26,23,24,37.88,-42.974345,171.421354,10.196,0.79,74.5,88.5
2008,12,27,10,26,46.81,-43.158752,170.820508,17.029,0.29,202.5,274.6
2008,12,28,14,48,12.41,-43.177108,170.915365,19.522,0.76,217.6,250.8
2008,12,29,5,1,28.41,-42.979338,171.4889,14.26,2.21,110.5,134.2
2008,12,30,12,3,52.55,-43.392179,170.996273,20.614,1.49, -,130
2008,12,30,13,24,36.21,-43.511511,170.335596,4.209,0.29,81.1,328.8
2008,12,30,13,57,56.38,-43.072909,170.978711,13.747,0.48,158.1,293
2008,12,30,22,46,42.36,-43.57959,170.581966,16.192,1.4, -,130
2009,1,1,3,56,54.39,-43.061287,171.402279,9.44,1.34,245.6,402.3
2009,1,2,22,7,20.1,-42.984098,171.496354,14.417,1.12,129.3,165
2009,1,3,11,38,15.01,-42.896887,171.381559,2.336,0.57, -,130
2009,1,4,0,31,21.39,-42.941309,171.531283,14.669,0.83, -,130
2009,1,4,16,20,52.37,-42.95151,170.991243,15.948,0.89, -,130
2009,1,4,19,3,12.04,-43.142716,170.924089,16.979,0.36,93.4,105.5
2009,1,6,8,22,13.16,-43.234757,171.507633,12.049,1.16, -,130
2009,1,6,11,8,21.39,-43.248275,170.896126,14.383,1.39,452.3,565.4
2009,1,7,5,20,17.69,-43.004643,171.420394,2.319,0.83, -,130
2009,1,7,5,21,17.63,-43.186808,170.806868,9.69,1.21,108.8,209.3
2009,1,8,0,2,36.51,-43.310852,170.485677,12.675,1.35, -,130
2009,1,8,2,43,37.43,-43.146106,170.633952,8.337,2.16,516.8,744.5
2009,1,8,13,53,58.9,-43.415267,170.781348,16.678,1.61,638.4,1419.6
2009,1,10,11,8,29.69,-43.556331,170.497266,10.614,0.87,203.3,417.1
