# kml2gmt: KML read from ../../../data/DEM/south_island/gnsNZL_GNS_250K_faults.kml
# gns:NZL_GNS_250K_faults
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_2024"
169.501000181	-44.3844227742
169.984207943	-44.3904794721
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_2031"
169.980576295	-44.3983582963
169.980862804	-44.396798719
169.98103675	-44.3957855732
169.981728572	-44.3943446492
169.98260162	-44.3928589179
169.982888846	-44.3923350547
169.983498065	-44.3912206879
169.984827648	-44.3898324096
169.985819822	-44.3882236783
169.986439831	-44.3872041427
169.987040946	-44.3859994874
169.987458057	-44.3843982704
169.987711598	-44.3831125058
169.987638158	-44.3825792338
169.611900206	-44.3811152515
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_2032"
169.602859609	-44.3879955087
169.604569649	-44.386320889
169.607011354	-44.3846992968
169.609296896	-44.3832802412
169.609661313	-44.3830027082
169.611094025	-44.3817792368
169.613670691	-44.3796570496
169.616245736	-44.3781652944
169.617433388	-44.377380437
169.618164632	-44.3767803544
169.619513565	-44.375919137
169.620429263	-44.3751668138
169.620837519	-44.3749445778
169.62125326	-44.3746459951
169.621271917	-44.3838081921
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_2033"
169.617091836	-44.3893685527
169.617396999	-44.3886433811
169.618992561	-44.3863256594
169.620034709	-44.3849555173
169.620554506	-44.3844302904
169.621634692	-44.3834936139
169.621989155	-44.3827833874
169.623024337	-44.3809266078
169.623448759	-44.3799797246
169.624241647	-44.3787373663
169.624718745	-44.3777469829
169.947456027	-44.3944458674
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_2034"
169.942221041	-44.3986246215
169.943183091	-44.3977494416
169.944641258	-44.3966306897
169.946470847	-44.3951885016
169.948277371	-44.3938267333
169.94999895	-44.392588784
169.951371404	-44.3915442429
169.951970143	-44.3906459022
169.95215803	-44.3899213539
168.823163162	-44.3623711996
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_2035"
168.820325187	-44.3645950998
168.821120337	-44.3638310371
168.822274171	-44.3630124329
168.82353487	-44.3621030853
168.824812754	-44.3615277686
168.825794463	-44.3614553188
168.826563144	-44.361420176
169.950798949	-44.3970255345
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_2036"
169.945702143	-44.4001846558
169.947028627	-44.3996117743
169.948751778	-44.398346865
169.950963696	-44.3969191998
169.952739962	-44.3955340486
169.95421117	-44.3942173874
169.955555324	-44.3933566782
169.500243258	-44.3869470671
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_2037"
169.501000181	-44.3844227742
169.500944045	-44.3849480465
169.500359556	-44.3867094121
169.50019884	-44.3870378344
169.500055072	-44.3873982996
169.499805047	-44.388228466
169.499328931	-44.3894301094
169.979081463	-44.4008067362
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_2038"
169.977182654	-44.4029662974
169.97816179	-44.4018075901
169.97915582	-44.4007258158
169.979887671	-44.3996732105
169.980576295	-44.3983582963
169.967585399	-44.4002412599
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_2039"
169.960517863	-44.4030968273
169.962099487	-44.402323338
169.963865807	-44.4016222237
169.965772996	-44.4007446574
169.968143157	-44.400086342
169.970251012	-44.3987816719
169.972243526	-44.3977666418
169.972999549	-44.3974126832
169.974321407	-44.3966772597
168.991201031	-44.3621538295
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_203a"
168.967200611	-44.3726333835
168.968138678	-44.3722788369
168.968892401	-44.3720484717
168.970838586	-44.3716932141
168.972046144	-44.3712084186
168.973849381	-44.3700461568
168.97552968	-44.3688435212
168.976484912	-44.3683273191
168.978748487	-44.3669963822
168.982043978	-44.3655888512
168.983864128	-44.3646342752
168.985859688	-44.3640552309
168.987552568	-44.3634475648
168.988158039	-44.3632704696
168.989567456	-44.3628601218
168.992084075	-44.3617720367
168.994019578	-44.3606861708
168.994492958	-44.3604188389
168.995892022	-44.359742245
168.997522086	-44.3593169632
169.000365356	-44.3583617201
169.002879608	-44.3576742904
169.004270601	-44.3572541153
169.008814909	-44.3550017225
169.010864249	-44.3539420639
169.011204031	-44.3537916695
169.014362411	-44.3523919996
169.015437165	-44.3519562205
168.966544478	-44.3728843183
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_203b"
168.965890885	-44.3731415754
168.966078428	-44.3730625567
168.967200611	-44.3726333835
168.835021104	-44.3679538459
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_203c"
168.836649645	-44.3671659917
168.835829584	-44.3675282541
168.833419315	-44.3687970437
168.503622173	-44.0020353332
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_203d"
169.180948176	-43.7498166316
169.173315638	-43.753200617
169.16257191	-43.7575516078
169.150264329	-43.7623713974
169.138202279	-43.767207216
169.119691677	-43.7743453113
169.096036842	-43.7835930147
169.072075986	-43.7932173467
169.043271998	-43.8045654946
169.016153362	-43.8140687998
168.985471861	-43.825715548
168.960217294	-43.8345100775
168.923865692	-43.8479129947
168.888272163	-43.8614490194
168.864714162	-43.8704731604
168.846174278	-43.8779002708
168.821201031	-43.8874588591
168.793789311	-43.8977692962
168.754115335	-43.9130693814
168.704603771	-43.9322215315
168.676486044	-43.9430727893
168.653906427	-43.952244963
168.629497375	-43.9624872723
168.607972337	-43.9706456797
168.584793672	-43.9781278843
168.554988082	-43.9871815481
168.538245929	-43.9916336203
168.517743294	-43.9971613185
168.502343744	-44.0024765929
168.4863501	-44.0081764292
168.472889931	-44.0139791354
168.450542392	-44.0249331874
168.429814414	-44.0367681257
168.396703436	-44.0548426017
168.363568835	-44.0729071012
168.335740251	-44.0881148489
168.312545982	-44.1018705966
168.282767146	-44.1198480455
168.2559783	-44.1356935129
168.229207862	-44.1511237458
168.204500512	-44.165408801
168.158628587	-44.1918739878
168.13393698	-44.2055324769
168.117792799	-44.2137157006
168.068119185	-44.2383328983
168.041951556	-44.2511841056
167.968359554	-44.2842452494
167.927762857	-44.3002863456
167.899725396	-44.3111995637
167.877126288	-44.3211339294
167.860395531	-44.3299824562
170.164210627	-44.4037453974
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_203e"
170.164283302	-44.4099323362
170.164049768	-44.4084407315
170.164128788	-44.4070468375
170.164211369	-44.4056440252
170.164248792	-44.4038708866
170.163912153	-44.402763984
170.16357759	-44.4016796442
170.162998949	-44.4006433522
170.162929843	-44.3993268743
170.162210289	-44.3979539232
169.972380727	-44.4057017365
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_203f"
169.967023204	-44.4056002338
169.96837341	-44.4062840804
169.970081814	-44.4062883294
169.971928048	-44.4058683725
169.974360669	-44.4049728989
169.976283305	-44.403852398
169.977182654	-44.4029662974
169.981132691	-44.4026996601
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_2040"
169.98004059	-44.4069225841
169.980304102	-44.4060018409
169.981024945	-44.4041158797
169.981185643	-44.4020036505
169.980900702	-44.4003796229
169.980811534	-44.3994766882
169.980576295	-44.3983582963
169.600416898	-44.3920684872
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_2041"
169.598456651	-44.3963735119
169.59873803	-44.395629667
169.59904609	-44.394584851
169.599446395	-44.3935742805
169.600463369	-44.3919963845
169.601136138	-44.3909983413
169.601752022	-44.3897869387
169.602385918	-44.3885895754
169.602859609	-44.3879955087
168.549311699	-44.3588613472
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_2042"
168.551631804	-44.3564287571
168.549405598	-44.3587983646
168.546789015	-44.3605534343
168.546552184	-44.3607785707
168.962378273	-44.3749881287
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_2043"
168.959202943	-44.3773939539
168.959931945	-44.3768834453
168.963019327	-44.3744914661
168.965448163	-44.3733242697
168.965890885	-44.3731415754
169.628974604	-44.3921776788
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_2044"
169.626986105	-44.3838123457
169.627186767	-44.3844802685
169.627618253	-44.3861142437
169.628961384	-44.3913778781
169.629041709	-44.3916774741
169.628943608	-44.3924087232
169.628956778	-44.3931162006
169.629200692	-44.3946816323
169.629856212	-44.3962996197
169.630655335	-44.3976020276
169.631025598	-44.3982163435
169.63161401	-44.3995801437
169.632036379	-44.4000518545
169.138885825	-45.0931674519
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_2045"
169.13875267	-45.0948865513
169.138854237	-45.0941196445
169.138902302	-45.0926707792
169.138970708	-45.0914433103
168.840587452	-44.3761154524
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_2046"
168.845834741	-44.3732522164
168.844133185	-44.3739115697
168.841980992	-44.3751718583
168.839896589	-44.3765832494
168.838078491	-44.3778690845
168.83604864	-44.3793950279
168.835738572	-44.3796496214
169.97205608	-44.4116079859
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_2047"
169.963957762	-44.4161109851
169.96553756	-44.4150717133
169.968058652	-44.4140525991
169.970822782	-44.4124544014
169.972990607	-44.4109666188
169.975116535	-44.4093741316
169.977247538	-44.4081735041
169.978649535	-44.4074716437
169.98004059	-44.4069225841
168.822252298	-44.3764720986
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_2048"
168.833419315	-44.3687970437
168.833171419	-44.3689277259
168.8308325	-44.3705189533
168.829122611	-44.3720068208
168.827460065	-44.3733567097
168.825511592	-44.3748403669
168.823443597	-44.3760583193
168.821482582	-44.3767394477
168.819895027	-44.3773800663
168.817851909	-44.3782879363
168.816661411	-44.378776257
168.813850219	-44.3797056462
168.812083756	-44.3807406472
168.810870217	-44.3812866441
168.80973005	-44.3817722253
169.608495534	-44.4017164973
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_2049"
169.594959157	-44.4082190041
169.595763808	-44.4078283947
169.598650374	-44.4069046661
169.60083618	-44.4062574756
169.602995717	-44.4051906145
169.603382551	-44.4049633001
169.60498471	-44.4040286206
169.607282129	-44.4027450528
169.608945912	-44.4013347297
169.609909064	-44.4002010517
169.611435656	-44.3983858268
169.61275802	-44.396460995
