# kml2gmt: KML read from ../../../data/DEM/south_island/gnsNZL_GNS_250K_faults.kml
# gns:NZL_GNS_250K_faults
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_2024"
168.76927121	-44.4658631739
168.770020545	-44.4651968469
168.770337648	-44.4641090973
168.769953144	-44.4630225757
168.769689511	-44.4610843983
168.769640216	-44.4609383994
168.76933609	-44.4600035229
168.768693408	-44.4589210136
168.767781272	-44.4578240768
168.766467066	-44.456194161
168.764864721	-44.454197656
168.764011766	-44.4527604224
168.763403405	-44.4518593742
168.762934283	-44.4509904884
168.762508031	-44.4501817558
168.762312756	-44.4494851691
168.762397526	-44.4485240501
168.762613842	-44.4473515008
169.605387358	-44.4899246511
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_20b0"
169.602978006	-44.494653507
169.602933643	-44.4944945706
169.603304671	-44.4940596028
169.603857796	-44.4932471646
169.604135362	-44.4927959363
169.604356013	-44.4925141786
169.60472264	-44.4915521356
169.60506584	-44.4904497864
169.605344672	-44.4899760741
169.605800869	-44.4894265032
169.606196643	-44.4892174429
169.606674455	-44.488564917
169.607424188	-44.4879428921
169.607817332	-44.4874500118
169.608409238	-44.4871115889
169.608975347	-44.486619278
169.609254745	-44.4862446568
169.60056079	-44.4872034484
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_20b1"
169.602978006	-44.494653507
169.602933643	-44.4944945706
169.602501291	-44.4929280559
169.602045228	-44.4921039654
169.60168344	-44.4913366907
169.601142734	-44.4906722428
169.601024509	-44.4904300647
169.600668431	-44.4885775413
169.600559515	-44.4871871705
169.600667931	-44.4859563224
169.600646084	-44.4851314864
169.600610295	-44.4848782213
169.60036442	-44.4836819867
169.599976689	-44.4824365388
169.599594131	-44.4814299424
169.59925847	-44.4804832739
169.59879881	-44.4795599765
169.686051189	-44.4983517173
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_20b2"
169.686993061	-44.5038249251
169.686760895	-44.5029130524
169.686498995	-44.5013518103
169.686150442	-44.4993152066
169.685995495	-44.4978110698
169.685746472	-44.4960205082
169.685671952	-44.4945411925
169.685560968	-44.4934886728
169.685532249	-44.4928213171
170.011762568	-44.5029054194
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_20b3"
170.018299415	-44.5074569567
170.016414604	-44.5061476253
170.01528142	-44.5055961021
170.014103643	-44.5049308452
170.012700093	-44.5038139661
170.011840481	-44.5029542564
170.010282105	-44.5019774446
170.008353504	-44.5005452608
170.006443656	-44.4990549882
170.005244192	-44.4982629908
169.574469754	-44.4937216788
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_20b4"
169.574157726	-44.4960951341
169.57386264	-44.4957576042
169.573835012	-44.4953109041
169.574062325	-44.4949168016
169.574088852	-44.4944041495
169.574300699	-44.493951038
169.575038154	-44.4929505266
169.576084027	-44.4916213625
168.767013042	-44.4676598198
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_20b5"
168.764698899	-44.4693851246
168.765568771	-44.4687502976
168.767810724	-44.4670575404
168.768978889	-44.466122767
168.76927121	-44.4658631739
169.748765697	-44.5008792606
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_20b6"
169.744593688	-44.5028170988
169.746315833	-44.5019378427
169.748015375	-44.5011254783
169.749405881	-44.5006691847
169.751582834	-44.4996405092
169.752910763	-44.4988896931
168.411097455	-44.4551606822
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_20b7"
168.419977873	-44.4586538787
168.419566672	-44.4585203001
168.417687657	-44.4581659038
168.415381285	-44.4570372829
168.412941152	-44.4560114285
168.410150289	-44.4547236263
168.40724574	-44.4539269432
168.406333292	-44.4534848281
168.404583684	-44.452644149
168.403216606	-44.4520621243
168.402188845	-44.4516874637
169.83008536	-44.5016989819
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_20b8"
169.833483488	-44.5068016298
169.832709205	-44.505393435
169.832269748	-44.5042555889
169.83137642	-44.5029567062
169.830338923	-44.5018835337
169.829085222	-44.5009710481
169.827346406	-44.5004235241
169.82556005	-44.5000593034
169.824244721	-44.4998881139
168.942396912	-44.4788794817
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_20b9"
168.949470151	-44.4791471626
168.949262995	-44.479139873
168.947942878	-44.4791204427
168.947538343	-44.4791467499
168.946516405	-44.4791378
168.945784724	-44.4790714839
168.945452329	-44.4790552708
168.94475111	-44.4790035371
168.943566629	-44.4790248768
168.939872981	-44.4785657589
168.937738948	-44.4784409052
168.936146983	-44.478348667
168.935637239	-44.4783036363
168.935335929	-44.4782929964
169.605672781	-44.497766022
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_20ba"
169.607807872	-44.501177216
169.607755256	-44.5008874311
169.60773459	-44.5000401178
169.607133906	-44.4992118085
169.606280669	-44.4983985982
169.605336486	-44.4974160686
169.604249675	-44.4967265885
169.603692108	-44.4960256296
169.603174477	-44.4951772168
169.602978006	-44.494653507
169.575303443	-44.4982871516
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_20bb"
169.576547936	-44.5004085864
169.576295148	-44.4998831569
169.575824073	-44.4993782818
169.575605365	-44.4989709599
169.5752326	-44.4981267033
169.574920584	-44.4973202751
169.574624912	-44.4968295994
169.574157726	-44.4960951341
169.742793987	-44.5039423787
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_20bc"
169.741095019	-44.5052180006
169.742204857	-44.5043755919
169.743231181	-44.503620891
169.744593688	-44.5028170988
168.962496169	-44.4802579951
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_20bd"
168.975538659	-44.4812012825
168.973500219	-44.4811029765
168.970834415	-44.4808385095
168.966709822	-44.4806039758
168.963468746	-44.4803326936
168.959365455	-44.4800175413
168.956705915	-44.4798926231
168.954955341	-44.4797725539
168.95326116	-44.479564333
168.951759126	-44.4793988867
168.951390604	-44.479358894
168.950074692	-44.4791864549
168.949470151	-44.4791471626
168.425612155	-44.4604659011
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_20be"
168.431392934	-44.4617270435
168.43037666	-44.4615649224
168.428829959	-44.4612645024
168.426029014	-44.4605851144
168.423520538	-44.4598677393
168.421192666	-44.4590538551
168.419977873	-44.4586538787
168.761451778	-44.4716480841
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_20bf"
168.758543521	-44.474348974
168.758985601	-44.4738020493
168.76066698	-44.4723410732
168.762067895	-44.4711040424
168.762887524	-44.4705124409
168.763958074	-44.4699751349
168.764698899	-44.4693851246
169.608326905	-44.5026759627
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_20c0"
169.608918913	-44.5041372608
169.60888498	-44.5039606188
169.608553674	-44.5029330492
169.608264121	-44.5026047858
169.608143276	-44.5021328487
169.607869446	-44.5015303163
169.607807872	-44.501177216
168.451285643	-44.4631003104
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_20c1"
168.470846391	-44.4665706953
168.468629176	-44.4658613297
168.466910144	-44.4652617152
168.46511215	-44.4648707647
168.463376594	-44.464527317
168.46075571	-44.4640361868
168.458356675	-44.4638512036
168.455590185	-44.4633722188
168.454243046	-44.4631746892
168.452625893	-44.4632143148
168.4501471	-44.4630034635
168.448834146	-44.4628117295
168.446808506	-44.4627629751
168.443963146	-44.4627357431
168.44178067	-44.4626401156
168.438960369	-44.4622487133
168.434947138	-44.4620666977
168.433469061	-44.4619358175
168.432067665	-44.4618305015
168.431392934	-44.4617270435
168.960859563	-44.4841184116
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_20c2"
168.953814289	-44.484620743
168.955646639	-44.4845139262
168.958467161	-44.4844507853
168.961237323	-44.4840659299
168.963415627	-44.4842369378
168.965640723	-44.4844140484
168.967912169	-44.4845116427
168.944636176	-44.4835179008
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_20c3"
168.935576709	-44.4813291151
168.936411939	-44.4816739804
168.938085344	-44.4821385266
168.942091549	-44.4826312416
168.943866548	-44.483220926
168.94574249	-44.483944792
168.946392773	-44.4841434008
168.947536349	-44.4844900272
168.9497223	-44.4847787076
168.950531029	-44.4846404602
168.951130892	-44.4846570538
168.952223584	-44.4846909734
168.953330318	-44.4846577961
168.953814289	-44.484620743
169.609436828	-44.5057834903
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_20c4"
169.609937983	-44.5074413823
169.609854606	-44.5070290956
169.609603138	-44.5063101271
169.609382061	-44.5056100643
169.60905202	-44.5048347441
169.608918913	-44.5041372608
168.474496258	-44.4677417506
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_20c5"
168.478030687	-44.469224225
168.477190016	-44.4688621464
168.475806478	-44.468275884
168.474577435	-44.4677677961
168.470846391	-44.4665706953
169.843555699	-44.5145471486
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_20c6"
169.838963308	-44.5167955428
169.840538802	-44.5161675697
169.84194431	-44.5154808993
169.843538447	-44.514560684
169.84469771	-44.5136511108
169.845935875	-44.5125590438
169.847311063	-44.5110789147
169.565546357	-44.5036535607
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_20c7"
169.574157726	-44.4960951341
169.573796634	-44.4964087049
169.573053302	-44.4972378895
169.572000944	-44.4984587452
169.571472114	-44.4990060362
169.571006862	-44.4994876539
169.570415481	-44.5001366728
169.569438268	-44.5008192739
169.566906411	-44.5025906615
169.565976234	-44.5032746324
169.564172131	-44.5048649147
169.563271479	-44.5056353165
169.562519739	-44.5062795293
169.562167946	-44.5065933426
169.561464087	-44.5072254619
169.560293222	-44.5082580338
169.559723353	-44.5088040541
169.558897198	-44.5096442001
169.558136469	-44.510495297
169.557656883	-44.5111115548
169.557202152	-44.5115709158
169.855855385	-44.5087900724
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_20c8"
169.842741252	-44.5210776552
169.844307121	-44.5208681671
169.84659007	-44.5199576741
169.848108324	-44.5189857915
169.849393742	-44.5175977595
169.850618964	-44.5166899223
169.851455524	-44.5158705739
169.851360062	-44.5151204416
169.85077419	-44.5140057169
169.850706492	-44.5127925061
169.851012305	-44.5117155469
169.851867604	-44.5108381648
169.852680299	-44.5106441092
169.853794076	-44.5099943994
169.854656825	-44.509508981
169.855682426	-44.5089784448
169.856884603	-44.5076691341
169.858492415	-44.5062447315
169.860062118	-44.5047066939
169.861552668	-44.5034141672
169.863208999	-44.5024953787
169.864423727	-44.5012403741
169.865378896	-44.5000143542
169.867123965	-44.4977109285
169.86897361	-44.4962839292
169.869693905	-44.4957495189
169.870814565	-44.4949602408
169.832810257	-44.5186387125
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_20c9"
169.824294224	-44.5132327197
169.825049192	-44.5139424342
169.825706483	-44.5144197972
169.826574787	-44.5148353923
169.828019294	-44.5150100854
169.829547252	-44.515389693
169.830361309	-44.5161730405
169.831196472	-44.5171505999
169.831735193	-44.5177282547
169.83264745	-44.5185007618
169.833740353	-44.5194268097
169.835472353	-44.5201136325
169.837291291	-44.5204695621
169.838471079	-44.520771983
169.8394675	-44.5207361449
169.840174902	-44.5209265788
169.84137176	-44.5209682465
169.842741252	-44.5210776552
169.610206353	-44.5114816395
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_20ca"
169.610453853	-44.515522724
169.610338268	-44.5148482767
169.610279857	-44.5137251309
169.610280987	-44.5127163245
169.61024586	-44.511846071
169.610144963	-44.51091534
169.610119109	-44.5101579519
169.610089907	-44.5094590143
169.61007765	-44.5086840098
169.610024245	-44.5078582573
169.609937983	-44.5074413823
168.940611515	-44.4940662596
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_20cb"
168.937926885	-44.4939460276
168.939983928	-44.4940546288
168.941869805	-44.4940895788
168.94329767	-44.4941489088
168.948548992	-44.4944115094
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_20cc"
168.94329767	-44.4941489088
168.943592477	-44.4941638011
168.944151931	-44.4941744997
168.945701266	-44.4942065406
168.948195146	-44.4944159749
168.950645743	-44.4943850484
168.951836561	-44.4944134063
168.953808208	-44.4944827098
168.925741357	-44.4928666606
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_20cd"
168.91346499	-44.4932965645
168.913976715	-44.4933147292
168.918009716	-44.4931108892
168.926481349	-44.4928432856
168.929197104	-44.4931195633
168.931853927	-44.4931098531
168.933760277	-44.4932582975
168.935507804	-44.4934281347
168.936456322	-44.4935472193
168.937563012	-44.4939286834
168.937926885	-44.4939460276
168.879331032	-45.2309660721
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_20ce"
168.878557135	-45.2281754472
168.879319185	-45.2308739431
168.879666624	-45.2335757939
168.879651029	-45.2338410456
169.687742408	-44.5115153589
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_20cf"
169.688419494	-44.5192229865
169.688158462	-44.518319301
169.688005034	-44.5171800065
169.687916103	-44.5156192223
169.687873273	-44.5148658983
169.687802182	-44.513661407
169.687807238	-44.5128959434
169.6878358	-44.5119915421
169.687797224	-44.5118373155
169.687733269	-44.5114616867
169.687645206	-44.510616995
169.687593707	-44.5099625008
169.687534948	-44.5086502757
169.687553735	-44.5071331068
169.687545492	-44.5059304142
169.687433796	-44.5055083813
169.6871246	-44.5043421024
169.686993061	-44.5038249251
169.732298261	-44.5127636713
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_20d0"
169.723716063	-44.520592863
169.723995946	-44.5203125651
169.726103736	-44.5183366544
169.729088831	-44.5158586089
169.730097201	-44.5148957958
169.731096705	-44.5139898899
169.732574467	-44.5124817954
169.733641322	-44.5114291572
169.734020189	-44.5110152394
169.734834815	-44.5102314687
169.736082829	-44.5091202299
169.737449497	-44.5078803652
169.739544671	-44.5061740805
169.741095019	-44.5052180006
169.704910254	-44.5132255742
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_20d1"
169.723716063	-44.520592863
169.723473443	-44.5205409568
169.722695897	-44.5203162749
169.7223395	-44.520216108
169.720159792	-44.5196229175
169.717482138	-44.5187588554
169.715310516	-44.5180216859
169.713389225	-44.517368146
169.710970788	-44.5164302261
169.70863423	-44.5154360364
169.706635452	-44.5144243933
169.705354259	-44.5134691841
169.703778543	-44.5126046439
169.701880965	-44.5114742002
169.700196643	-44.5105839923
169.695899803	-44.5084662363
169.69373421	-44.5072379192
169.691646613	-44.5057415751
169.68956716	-44.504776845
169.688168077	-44.5042503964
169.687685556	-44.5039888786
169.686993061	-44.5038249251
169.5550194	-44.513864967
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_20d2"
169.557202152	-44.5115709158
169.556289529	-44.5125976317
169.555815664	-44.513114968
169.555647845	-44.5132946255
169.55512658	-44.513761004
169.554689612	-44.5141848545
169.554081405	-44.5148468074
169.553557231	-44.5154166818
169.553369761	-44.5156633085
169.553087244	-44.5160287051
169.552914957	-44.5162307452
168.769989402	-44.4781296445
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_20d3"
168.76927121	-44.4658631739
168.769472038	-44.466352682
168.769569512	-44.4685460833
168.770262294	-44.4709055652
168.770170943	-44.4732316998
168.77010746	-44.4752569715
168.769989312	-44.4781318276
168.770226769	-44.4816640891
168.77034585	-44.4832500006
168.770520058	-44.4849010197
168.770686736	-44.4870519041
168.77072731	-44.4891621056
168.770844674	-44.4905091455
169.611947074	-44.5180432469
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_20d4"
169.612874433	-44.5207954889
169.612646355	-44.5199961487
169.612346454	-44.5185821946
169.611776731	-44.5178133744
169.610986713	-44.5166597787
169.610487282	-44.5157083577
169.610453853	-44.515522724
169.549750611	-44.5182216308
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_20d5"
169.552914957	-44.5162307452
169.552438678	-44.5166804388
169.552158251	-44.5169017715
169.551687197	-44.5173696337
169.550487441	-44.5180274307
169.5470031	-44.5189457696
169.546049988	-44.5190974467
168.9006427	-44.4951848268
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_20d6"
168.887988127	-44.4980887483
168.89096817	-44.4976004335
168.894754585	-44.496559594
168.897718391	-44.4957596491
168.901541082	-44.4950082347
168.904759955	-44.4942487345
168.906889238	-44.4938604038
168.908999678	-44.4935164187
168.912134549	-44.4933304251
168.91346499	-44.4932965645
169.538365683	-44.5199892848
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_20d7"
169.546049988	-44.5190974467
169.545519228	-44.5191851739
169.543088512	-44.5195223526
169.542151879	-44.5196609787
169.540451192	-44.5197857375
169.538475281	-44.5199878026
169.536714384	-44.5200116166
169.53558657	-44.5201894995
169.534769873	-44.5202145588
169.533583969	-44.5202555629
169.531688965	-44.5203653554
169.530800563	-44.5209151939
168.771164597	-44.4932699123
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_20d8"
168.770844674	-44.4905091455
168.770881574	-44.4909160231
168.771035305	-44.4924581484
168.771397687	-44.4947333743
168.771414704	-44.4960316667
169.612974808	-44.5226627863
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_20d9"
169.612874433	-44.5207954889
169.612890345	-44.5217822738
169.612941271	-44.522432304
169.613024854	-44.5230067272
169.613266642	-44.5236218142
169.6137416	-44.5243428117
169.520040731	-44.521183869
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_20da"
169.530800563	-44.5209151939
169.530003933	-44.5211344907
169.526640991	-44.5212091249
169.525718263	-44.521163374
169.523153061	-44.5209466079
169.521632251	-44.5209548921
169.519457688	-44.5212677533
169.517260187	-44.5213817081
169.515798728	-44.5215043023
169.513723639	-44.5217840226
169.51182347	-44.5220329537
169.511049891	-44.5221267046
169.510000471	-44.5223607516
169.509307296	-44.5224253912
169.528611772	-44.5223614093
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_20db"
169.530800563	-44.5209151939
169.530153345	-44.5213776847
169.529271942	-44.5220223048
169.528402131	-44.5224690938
169.527336671	-44.5229775572
169.526407155	-44.5233684905
169.526222502	-44.5234575234
169.997282252	-44.5258737467
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_20dc"
170.002313211	-44.5044102314
170.00076148	-44.5054822931
169.998822945	-44.5066118593
169.997130927	-44.5078423458
169.995601405	-44.5095903581
169.994313079	-44.5110474153
169.993240991	-44.5128928214
169.992840193	-44.5147781583
169.992732187	-44.5165360054
169.992868899	-44.5182461681
169.993514263	-44.5197308731
169.994562895	-44.521455683
169.995578378	-44.5234633065
169.996678839	-44.5250993779
169.998014599	-44.5268135788
169.999233753	-44.528096965
170.001262141	-44.529748002
170.003118175	-44.5310748364
170.005275432	-44.5327336307
170.007309826	-44.534272133
170.009521758	-44.5352883375
170.012043692	-44.5362134243
170.014704353	-44.537448222
170.017206218	-44.5384627307
170.020069325	-44.5393063531
169.717412441	-44.5258339319
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_20dd"
169.71104017	-44.5310461314
169.712828938	-44.5296153088
169.714633529	-44.5283515396
169.716206623	-44.5268334804
169.718087214	-44.5252745863
169.720573724	-44.5237418476
169.721682939	-44.5226384019
169.723716063	-44.520592863
168.746788202	-44.4857480307
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_20de"
168.737666051	-44.4992110044
168.738029694	-44.4989270904
168.73885281	-44.4975562579
168.740403361	-44.4940900926
168.741128937	-44.4923686818
168.742209057	-44.4904441103
168.743470957	-44.4890083848
168.744808668	-44.4876114987
168.746521418	-44.4859445995
168.747977205	-44.4848719623
168.749294554	-44.4840600369
168.750445562	-44.4828048852
168.751452398	-44.4817156199
168.752666004	-44.4800707531
168.753922747	-44.4790492731
168.754849145	-44.4783760544
168.755340467	-44.4780202041
168.756479738	-44.4767059903
168.757208748	-44.4758452383
168.758198028	-44.4747778025
168.758543521	-44.474348974
169.524011404	-44.5246533322
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_20df"
169.526222502	-44.5234575234
169.525373084	-44.5238778798
169.523314756	-44.5250500609
169.52266391	-44.5252511742
169.521785305	-44.5257922336
168.871761617	-44.5056591308
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_20e0"
168.868281868	-44.5061733833
168.870452639	-44.5058773146
168.871831779	-44.505647436
168.873420979	-44.5053845213
168.874628025	-44.5051394295
168.875204232	-44.5049573286
168.524986351	-44.4908773251
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_20e1"
168.537417877	-44.4889773258
168.534016883	-44.4896203111
168.530779695	-44.4902605541
168.527309924	-44.4907294237
168.525654853	-44.4908452533
168.524773416	-44.4908875408
168.52264406	-44.4911966582
168.519645811	-44.4917963273
168.516930757	-44.4922312156
168.515504284	-44.4925270614
168.513679887	-44.4927983426
168.512564105	-44.4928584258
168.512248025	-44.4928753741
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_20e2"
168.512564105	-44.4928584258
168.511931944	-44.4928923224
168.504726134	-44.4921942082
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_20e3"
168.511931944	-44.4928923224
168.510243014	-44.4927902965
168.507950754	-44.492633117
168.507203735	-44.4925633548
168.504414965	-44.492147846
168.500758737	-44.4920858632
168.497901703	-44.4919874796
168.497487082	-44.4919757404
169.89850201	-44.5354927626
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_20e4"
169.904180334	-44.5387856697
169.903349369	-44.5382411005
169.902610142	-44.5377485118
169.901012764	-44.536931256
169.899472787	-44.535980419
169.897408529	-44.5349434678
169.89539762	-44.5337908258
169.893569341	-44.5328186662
169.892806693	-44.5322353184
169.518191748	-44.5274214389
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_20e5"
169.521785305	-44.5257922336
169.521559755	-44.5259340759
169.519952988	-44.5267054261
169.518369303	-44.5273513393
169.517341181	-44.5277572478
169.516380396	-44.5280886096
169.515778448	-44.5283136788
169.515257177	-44.5285051456
169.514540918	-44.5289069203
168.777156966	-44.5041031784
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_20e6"
168.774346404	-44.5032134334
168.774928598	-44.5036989051
168.776332691	-44.503917164
168.779003088	-44.504519793
168.78009244	-44.5048255852
168.795233187	-44.5055613158
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_20e7"
168.78009244	-44.5048255852
168.782018216	-44.5053647861
168.785291813	-44.505854198
168.78824745	-44.5059038331
168.790337273	-44.5058225972
168.793548154	-44.5056921902
168.796191415	-44.5054868915
168.798116914	-44.5052373049
168.800434039	-44.5049253811
168.801928548	-44.5043175726
168.804174874	-44.5040705797
168.805910013	-44.5045483515
168.806644909	-44.5049265746
168.808041252	-44.5054325181
168.810032128	-44.5058564597
168.81508137	-44.5063426054
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_20e8"
168.810032128	-44.5058564597
168.813892613	-44.5062853033
168.81693579	-44.5064319946
168.818959983	-44.5069200657
168.820074803	-44.5071362784
169.68824212	-44.5280902004
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_20e9"
169.688419494	-44.5192229865
169.688516896	-44.5195635432
169.688808602	-44.5208193842
169.689037711	-44.5227444643
169.689235541	-44.5242723337
169.689138729	-44.5256656695
169.688789744	-44.5269527086
169.68788508	-44.5288318204
169.687046721	-44.5309875431
169.686164831	-44.5326826494
169.685406644	-44.5338543761
169.684372674	-44.5353964955
169.683922125	-44.5360771331
169.505146526	-44.5026058741
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_20ea"
169.54606092	-44.4810127496
169.544524031	-44.4816919122
169.542594029	-44.4825844849
169.541334651	-44.4834655822
169.53922938	-44.4847176713
169.536770487	-44.4859366022
169.534881538	-44.4869293692
169.533726546	-44.4873135817
169.532367841	-44.4879528964
169.530699325	-44.4890467983
169.529843083	-44.4895390328
169.526271504	-44.4913233432
169.524163897	-44.4928723627
169.522331742	-44.494015274
169.518554378	-44.4963471509
169.517465347	-44.496674643
169.515541618	-44.4973913168
169.511966946	-44.4985715756
169.511098149	-44.4990047452
169.509033519	-44.5002935656
169.505558366	-44.5022873546
169.504028381	-44.503470654
169.502486614	-44.5045860179
169.501192348	-44.5055061786
169.499590625	-44.5065160984
169.496372217	-44.5081480769
169.494664918	-44.5090781619
169.493144718	-44.5100364224
169.491414462	-44.5110333251
169.490313205	-44.5116124226
169.488564579	-44.5123339809
169.486657379	-44.5133929978
169.48600562	-44.513927172
169.485164223	-44.5147393279
169.483463711	-44.5164486603
169.481752539	-44.5180180202
169.480142492	-44.5194733324
169.478363104	-44.5208108616
169.476801097	-44.522249579
169.475069501	-44.5239443387
169.472620792	-44.5258378844
169.471147991	-44.527148637
169.470032537	-44.5279568261
169.467738257	-44.5296838387
168.733844377	-44.5021698128
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_20eb"
168.730299014	-44.5054397907
168.730863393	-44.5049065121
168.732040022	-44.5035263122
168.733837897	-44.502173647
168.73491992	-44.5015333805
168.736192484	-44.5005216743
168.737666051	-44.4992110044
169.579702706	-44.5171076668
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_20ec"
169.577749062	-44.5339976214
169.577615914	-44.533741467
169.577033649	-44.5329225527
169.577046513	-44.5323194223
169.577097601	-44.5310013168
169.577221093	-44.5300096293
169.577531309	-44.5276948435
169.577795227	-44.5262344117
169.577877826	-44.5245344141
169.578107697	-44.5231180122
169.578566376	-44.5216092979
169.579075011	-44.5193994654
169.579341451	-44.5178940676
169.579859917	-44.5167654392
169.580150633	-44.5157651857
169.580242031	-44.5152184242
169.580318473	-44.5140046556
169.580333351	-44.5127125007
169.580232696	-44.5118402862
169.580039328	-44.5108842596
169.579605248	-44.5096283611
169.579542018	-44.5093067188
169.579475647	-44.5089849834
169.579440715	-44.5087182243
169.579449811	-44.5085608598
169.579085223	-44.5075186944
169.578809974	-44.5066187904
169.578363624	-44.505303972
169.577851718	-44.5036539269
169.577251586	-44.5018976773
169.576917834	-44.5011942024
169.576730523	-44.5007878131
169.576547936	-44.5004085864
168.844150317	-44.5096357914
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_20ed"
168.820074803	-44.5071362784
168.820345113	-44.5071866457
168.820599724	-44.5072364423
168.822244854	-44.5078323398
168.823716546	-44.5085660997
168.825041903	-44.5090106767
168.826285301	-44.5098127159
168.827088403	-44.5103419584
168.828786201	-44.5105071253
168.832333232	-44.5100318542
168.833374398	-44.5098217381
168.834253006	-44.5098625494
168.835940336	-44.5101759148
168.837644503	-44.5102510664
168.839388803	-44.5095346581
168.841565746	-44.5093339751
168.843946817	-44.5095866735
168.845154061	-44.5098780605
168.846769911	-44.5100895598
168.848036082	-44.5094999488
168.849315905	-44.5085819101
168.852293218	-44.5070717271
168.854564072	-44.5065182432
168.856459923	-44.5060593506
168.860297738	-44.5059180848
168.862544707	-44.506061944
168.864478025	-44.5060998747
168.866134381	-44.5061818935
168.86755777	-44.5061744259
168.868281868	-44.5061733833
169.711287038	-44.5351850462
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_20ee"
169.71104017	-44.5310461314
169.711195111	-44.5312036553
169.711216548	-44.5313844055
169.711214192	-44.5321634472
169.711197601	-44.5325187536
169.711177262	-44.5329415062
169.711173888	-44.5333422234
169.711170513	-44.5337429406
169.711134458	-44.5341652464
