170.4068, -43.3181, 0.1, 1.21, 405.0, 230.0
170.4151, -43.4114, 2.3, 1.21, 127.0, 230.0
170.4191, -43.3481, 1.6, 1.21, 675.0, 230.0
170.4213, -43.3818, 2.2, 1.21, 731.0, 230.0
170.4378, -43.3441, 0.9, 1.21, 1046.0, 230.0
170.4398, -43.4231, 3.9, 1.21, 164.0, 230.0
170.4068, -43.3181, 1.4, 1.21, 405.0, 100.0
170.4151, -43.4114, 0.1, 1.21, 466.0, 100.0
170.4191, -43.3481, 0.3, 1.21, 675.0, 100.0
170.4213, -43.3818, 0.1, 1.21, 274.0, 100.0
170.4378, -43.3441, 0.1, 1.21, 270.0, 100.0
170.4398, -43.4231, 0.1, 1.21, 731.0, 100.0
169.2792, -43.9406, 3.8, 3.15, 215.0, 230.0
169.3333, -43.9564, 3.6, 3.15, 637.0, 230.0
169.355, -43.9543, 5.6, 3.15, 219.0, 230.0
169.3562, -43.9544, 6.6, 3.15, 140.0, 230.0
169.3624, -44.0335, 7.4, 3.15, 524.0, 230.0
169.3707, -43.9762, 7.4, 3.15, 492.0, 230.0
169.2217, -44.2529, 0.1, 3.15, 398.0, 100.0
169.3046, -43.9552, 0.1, 3.15, 270.0, 100.0
169.3333, -43.9564, 0.1, 3.15, 219.0, 100.0
169.355, -43.9543, 0.1, 3.15, 144.0, 100.0
169.3624, -44.0335, 2.0, 3.15, 142.0, 100.0
169.3691, -43.9608, 0.1, 3.15, 151.0, 100.0
169.3707, -43.9762, 0.1, 3.15, 492.0, 100.0
169.3731, -44.0393, 0.1, 3.15, 347.0, 100.0
169.3848, -44.0471, 0.1, 3.15, 418.0, 100.0
169.3859, -44.0808, 5.8, 3.15, 625.0, 100.0
169.4072, -44.0895, 7.8, 3.15, 1376.0, 100.0
169.423, -43.9769, 0.1, 3.15, 83.0, 100.0
169.8323, -43.5738, 0.3, 0.34, 239.0, 230.0
169.9044, -43.6163, 0.4, 0.34, 326.0, 230.0
169.9455, -43.6381, 0.6, 0.34, 571.0, 230.0
169.9467, -43.6282, 1.0, 0.34, 626.0, 230.0
169.8214, -43.5924, 0.1, 0.34, 74.0, 100.0
169.8323, -43.5738, 0.7, 0.34, 239.0, 100.0
169.9044, -43.6163, 0.2, 0.34, 326.0, 100.0
169.9455, -43.6381, 0.1, 0.34, 571.0, 100.0
169.9467, -43.6282, 0.1, 0.34, 518.0, 100.0
171.0032, -43.0047, 1.3, 1.21, 661.0, 230.0
171.0411, -43.0337, 1.2, 1.21, 1068.0, 230.0
171.0578, -43.0593, 3.4, 1.21, 1208.0, 230.0
171.0032, -43.0047, 0.1, 1.21, 127.0, 100.0
171.0411, -43.0337, 0.1, 1.21, 354.0, 100.0
171.0578, -43.0593, 0.1, 1.21, 524.0, 100.0
170.1835, -43.5325, 4.9, 2.31, 2357.0, 230.0
170.1843, -43.585, 6.1, 2.31, 1991.0, 180.0
170.1843, -43.585, 8.6, 2.31, 1991.0, 180.0
170.1843, -43.585, 2.9, 2.31, 1991.0, 60.0
170.1939, -43.582, 3.4, 2.31, 1883.0, 60.0
170.2029, -43.5881, 1.1, 2.31, 1412.0, 60.0
170.2029, -43.5881, 1.3, 2.31, 1412.0, 60.0
170.2093, -43.5909, 2.1, 2.31, 1135.0, 60.0
170.2093, -43.5909, 2.6, 2.31, 1135.0, 60.0
170.2931, -43.573, 6.7, 2.31, 2515.0, 60.0
170.3152, -43.592, 1.8, 2.31, 1611.0, 60.0
170.3152, -43.592, 2.1, 2.31, 1611.0, 60.0
