-0	2.3
0.973383036777	1.98
1.94682395752	1.91
2.92032270362	1.93
3.89387924924	1.94
4.86749357042	1.96
5.84116563811	1.98
6.81489542181	2
7.78868289452	2.02
8.76252802672	2.05
9.73643078897	2.07
10.7103911549	2.1
11.6844090943	2.13
12.658484579	2.16
13.6326175797	2.19
14.6068080689	2.22
15.5810560173	2.25
16.5553613956	2.28
17.5297241764	2.32
18.5041443305	2.36
19.4786218299	2.39
20.4531566443	2.43
21.4277487467	2.47
22.4023981079	2.45
23.377104699	2.42
24.3518684923	2.4
25.3266894579	2.39
26.3015675685	2.37
27.2765027949	2.35
28.2514951081	2.34
29.22654448	2.33
30.2016508821	2.32
31.1768142854	2.32
32.1520346619	2.31
33.1273119821	2.31
34.1026462182	2.31
35.0780373413	2.31
36.0534853234	2.31
37.028990135	2.31
38.0045517482	2.32
38.9801701337	2.33
39.9558452641	2.34
40.9315771097	2.35
41.9073656426	2.36
42.8832108344	2.36
43.8591126558	2.36
44.8350710789	2.37
45.8110860751	2.38
46.7871576153	2.4
47.7632856716	2.42
48.7394702152	2.44
49.7157112176	2.47
50.6920086503	2.5
51.6683624847	2.54
52.6447726924	2.58
53.621239245	2.62
54.5977621136	2.67
55.5743412701	2.72
56.5509766857	2.78
57.527668332	2.84
58.5044161806	2.97
59.481220203	3.11
60.4580803703	3.28
61.4349966545	3.45
62.411969027	3.64
63.3889974592	3.83
64.3660819225	4.04
65.3432223889	4.26
66.3204188296	4.5
67.2976712161	4.74
68.27497952	5
69.2523437129	5.27
70.2297637662	5.55
71.2072396517	5.84
72.1847713406	6.15
73.1623588047	6.47
74.1400020155	6.8
75.1177009446	7.14
76.0954555634	7.49
77.0732658436	7.86
78.0511317569	8.24
79.0290532745	8.62
80.0070303683	9.03
80.9850630098	9.44
81.9631511704	9.87
82.9412948221	10.3
83.9194939362	10.34
84.8977484842	10.33
85.8760584379	10.3
86.8544237689	10.09
87.8328444486	9.69
88.8113204488	9.31
89.789851741	8.96
90.7684382969	8.63
91.7470800882	8.34
92.7257770864	8.07
93.7045292631	7.83
94.6833365899	7.62
95.6621990385	7.43
96.6411165806	7.28
97.6200891878	7.15
98.5991168318	7.05
99.5781994839	6.97
100.557337116	6.93
101.5365297	6.91
102.515777208	6.92
103.49507961	6.95
104.474436879	7.02
105.453848986	7.11
106.433315903	7.23
107.412837602	7.32
108.392414055	7.21
109.372045232	7.09
110.351731106	6.96
111.331471649	6.83
112.311266832	6.67
113.291116626	6.51
114.271021004	6.34
115.250979937	6.16
116.230993398	5.96
117.211061356	5.75
118.191183786	5.54
119.171360657	5.31
120.151591942	4.93
121.131877613	4.52
122.112217641	4.15
123.092611998	3.82
124.073060655	3.52
125.053563586	3.26
126.03412076	3.03
127.01473215	2.84
127.995397729	2.68
128.976117466	2.55
129.956891335	2.47
130.937719307	2.41
131.918601354	2.4
132.899537447	2.46
133.880527559	2.52
134.861571661	2.54
135.842669725	2.49
136.823821722	2.45
137.805027625	2.41
138.786287406	2.37
139.767601035	2.33
140.748968485	2.29
141.730389728	2.25
142.711864736	2.21
143.69339348	2.18
144.674975932	2.14
145.656612064	2.1
146.638301848	2.07
147.620045255	2.04
148.601842258	2
149.583692829	1.97
150.565596938	1.94
151.547554559	1.91
152.529565662	1.88
153.51163022	1.85
154.493748205	1.82
155.475919588	1.8
156.458144341	1.77
157.440422437	1.74
158.422753847	1.72
159.405138542	1.69
160.387576496	1.67
161.370067679	1.65
162.352612063	1.63
163.335209622	1.61
164.317860325	1.59
165.300564146	1.57
166.283321056	1.55
167.266131027	1.53
168.248994031	1.51
169.231910041	1.47
170.214879027	1.43
171.197900961	1.39
172.180975817	1.35
173.164103565	1.31
174.147284178	1.28
175.130517627	1.24
176.113803885	1.21
177.097142923	1.18
178.080534714	1.15
179.063979229	1.13
180.04747644	1.1
181.03102632	1.08
182.01462884	1.06
182.998283972	1.04
183.981991688	1.03
184.965751961	1.01
185.949564761	1
186.933430062	0.99
187.917347835	0.98
188.901318053	0.97
189.885340686	0.96
190.869415708	0.96
191.853543089	0.96
192.837722804	0.96
193.821954822	0.96
194.806239116	0.96
195.790575659	0.97
