179.209103928	15.729	0.83
170.726865979	0.837	1.22
203.539260929	10.279	1.55
170.60755066	1.194	1.27
171.862425989	1.957	0.58
170.841047364	2.059	1.59
164.022796209	12.376	1.29
204.679820452	10.561	0.74
211.838810131	13.367	1.07
155.305634742	9.41	0.78
191.029351707	7.623	1.49
209.021339567	9.004	0.26
214.295112238	10.175	1.25
147.372008164	16.386	1.48
148.790001083	14.335	0.59
147.405348416	16.537	1.19
147.341381468	16.569	1.38
147.429709778	16.467	1.03
173.675266985	6.292	0.66
173.814019688	6.213	0.91
147.451304586	16.723	1.78
147.381285146	16.711	1.34
104.938616093	10.481	1.38
147.365173049	16.753	1.12
151.67508451	16.38	0.53
155.486918349	16.426	1.01
91.6844943513	13.05	1.36
96.8976110431	6.023	0.59
138.999974591	15.345	1.92
209.404595013	11.627	1.69
190.077639789	9.23	1.33
185.714034544	0.68	0.05
211.126102981	10.806	1.52
179.884568951	15.001	2.91
211.153416623	10.861	1.5
91.6302730623	13.781	1.49
175.015932087	3.673	0.88
169.611761801	17.848	1.41
144.096763333	16.741	1.88
144.056143211	16.733	1.18
178.938367178	4.557	1.13
106.853041223	7.009	2.04
152.838807562	18.142	0.98
168.711535534	16.667	2.47
165.728585442	9.8	1.24
89.747326347	2.921	0.79
168.703688231	16.653	1.77
168.700351356	16.587	1.01
168.717689572	17.048	1.32
136.236865569	15.158	0.9
161.190233194	19.947	0.39
162.171264303	22.26	1.24
98.7010038356	4.581	0.74
97.3365129514	3.887	0.44
184.172885171	4.405	0.15
106.616291492	6.797	1.12
147.091102531	15.753	1.86
147.086492827	15.82	1.89
180.226507098	7.592	0.61
163.971978202	19.712	0.85
207.776120924	8.686	1.23
205.180986262	11.502	1.78
104.615207767	6.059	0.37
210.513621279	10.196	0.79
163.935807705	19.522	0.76
214.67061542	14.26	2.21
104.213625494	4.209	0.29
203.651755241	9.44	1.34
214.857791041	14.417	1.12
219.932693759	14.669	0.83
158.116354187	14.383	1.39
208.499033139	2.319	0.83
155.956718308	20.347	1
213.616341854	13.184	0.62
175.931218082	19.847	2.36
209.658852605	5.156	0.19
205.988351301	11.107	0.82
208.577315778	5.891	0.78
209.653865884	4.121	0.49
130.189249876	28.033	0.74
215.154046054	14.751	1.39
215.184844959	15.149	0.61
203.272376353	11.381	1.51
207.31736398	11.731	1.1
157.804379526	14.461	0.95
208.660171776	6.513	0.49
155.271384447	19.992	1.48
172.921171757	27.164	0.48
207.814177427	12.42	0.74
166.869572181	13.785	0.35
173.144899986	14.538	1.64
183.345264406	6.123	1.34
103.167378566	3.679	0.72
116.441574645	9.186	0.52
138.335603138	11.438	0.82
115.385812665	7.074	0.22
208.365979626	1.022	0.12
173.184055859	5.756	0.58
151.11186358	6.213	0.27
170.655618725	1.937	0.93
178.741283258	3.923	0.73
178.750628369	3.965	0.04
211.671721724	13.241	1.28
