169.2217 -44.2529 398.0 0.1
169.3046 -43.9552 270.0 0.1
169.3321 -43.8128 1179.0 1.5
169.3333 -43.9564 219.0 0.1
169.3445 -44.1179 599.0 17.2
169.355 -43.9543 144.0 0.1
169.3624 -44.0335 142.0 2.0
169.3691 -43.9608 151.0 0.1
169.3707 -43.9762 492.0 0.1
169.3731 -44.0393 347.0 0.1
169.3848 -44.0471 418.0 0.1
169.3859 -44.0808 625.0 5.8
169.4072 -44.0895 1376.0 7.8
169.423 -43.9769 83.0 0.1
169.4911 -43.7346 141.0 0.1
169.5099 -43.7706 79.0 0.1
169.6776 -44.0587 2054.0 112.0
169.7396 -44.0078 838.0 1.1
169.8084 -44.0018 740.0 0.1
169.8123 -44.0583 649.0 4.9
169.8214 -43.5924 74.0 0.1
169.8323 -43.5738 239.0 0.7
169.9044 -43.6163 326.0 0.2
169.9455 -43.6381 571.0 0.1
169.9467 -43.6282 518.0 0.1
170.0034 -43.4964 1040.0 0.5
170.0046 -43.4974 1088.0 0.1
170.0091 -43.5047 1244.0 0.9
170.0208 -43.6588 969.0 0.1
170.0333 -43.4909 376.0 0.1
170.0588 -43.5015 479.0 0.1
170.0651 -43.6528 1208.0 0.1
170.0915 -43.7362 901.0 23.4
170.1001 -43.7059 968.0 1.0
170.1013 -43.6573 1708.0 0.1
170.1024 -43.4631 1283.0 96.0
170.1046 -43.6582 1515.0 0.1
170.1092 -43.6591 1284.0 0.9
170.1113 -43.6632 1103.0 0.5
170.1221 -43.739 742.0 1.4
170.1377 -43.6018 3280.0 0.7
170.1434 -43.6002 3319.0 0.1
170.177 -43.4342 393.0 0.1
170.2013 -43.3889 318.0 1.0
170.2038 -43.389 312.0 1.0
170.2062 -43.3899 380.0 2.9
170.3007 -43.374 1073.0 63.0
170.4068 -43.3181 405.0 1.4
170.4151 -43.4114 466.0 0.1
170.4191 -43.3481 675.0 0.3
170.4213 -43.3818 274.0 0.1
170.4378 -43.3441 270.0 0.1
170.4398 -43.4231 731.0 0.1
170.5013 -43.5241 1078.0 0.1
170.5015 -43.5792 1010.0 4.8
170.5022 -43.5397 1019.0 1.1
170.5051 -43.5027 1088.0 0.1
170.5052 -43.6311 890.0 14.0
170.5171 -43.6658 853.0 28.0
170.5417 -43.6907 770.0 43.0
170.5823 -43.3715 594.0 1.9
170.5965 -43.388 1432.0 2.1
170.6902 -43.4566 925.0 0.3
170.7099 -43.4912 871.0 16.0
170.7711 -43.378 974.0 0.1
170.7845 -43.3929 938.0 0.1
170.7978 -43.4127 806.0 3.9
170.8246 -43.4359 814.0 15.0
170.8532 -43.5085 626.0 41.0
170.8593 -43.474 737.0 38.0
170.888 -43.5326 607.0 49.0
171.0032 -43.0047 127.0 0.1
171.0411 -43.0337 354.0 0.1
171.0578 -43.0593 524.0 0.1
171.3373 -43.0592 745.0 0.1
171.3394 -43.0864 711.0 4.1
171.3719 -43.13 724.0 8.4
171.4247 -43.1745 680.0 40.0
